Fuel_ID,Truck_ID,Fuel_Date,Fuel_Type,Liters_KWh,Unit_Price,Fuel_Cost
12000001,910289,2023-02-28 17:09:37,CNG,329.44,42.93,47532.74
12000002,911145,2025-12-06 04:54:31,Diesel,554.69,26.17,4459.12
12000003,912899,2024-06-26 12:37:20,CNG,313.71,60.11,68197.86
12000004,910471,2024-10-09 13:12:45,Diesel,81.14,17.43,32232.61
12000005,911738,2025-11-11 11:29:26,CNG,549.73,97.22,61054.22
12000006,911889,2024-04-09 20:09:52,CNG,294.07,41.58,36390.99
12000007,910810,2025-03-07 10:36:10,Diesel,306.42,26.39,11568.23
12000008,912704,2025-09-07 17:35:49,CNG,211.09,70.63,22425.08
12000009,912864,2023-06-08 09:24:53,CNG,482.12,52.0,19569.18
12000010,911057,2025-09-03 21:44:43,CNG,280.67,115.99,32469.59
12000011,911651,2024-01-13 12:14:10,CNG,221.61,94.06,34627.49
12000012,911422,2023-05-01 23:20:47,Electric,32.26,14.08,64124.62
12000013,912370,2023-01-13 04:37:11,CNG,450.7,88.91,56999.51
12000014,910578,2023-11-17 00:36:40,Diesel,469.45,16.27,37904.66
12000015,911286,2023-08-23 01:05:35,Diesel,565.63,25.15,7546.57
12000016,910043,2023-02-02 21:24:54,CNG,35.58,82.39,56002.04
12000017,911008,2025-01-13 23:30:32,CNG,174.19,97.95,67187.19
12000018,913002,2024-10-28 22:49:55,CNG,62.23,94.26,69136.69
12000019,911168,2024-10-10 08:48:19,Diesel,553.68,17.92,30084.31
12000020,911883,2025-02-20 08:54:43,Electric,450.97,74.33,16118.3
12000021,913529,2024-10-22 12:06:34,CNG,321.61,117.11,41727.76
12000022,911350,2023-10-12 16:48:03,CNG,33.18,33.04,68424.27
12000023,913666,2023-01-25 16:56:33,Electric,237.78,49.04,66640.06
12000024,912597,2024-04-05 04:39:30,Diesel,462.91,108.99,22293.22
12000025,912510,2023-03-04 02:47:22,Diesel,599.71,43.53,67187.46
12000026,911259,2023-10-04 05:57:36,Electric,192.47,108.68,524.8
12000027,913915,2024-01-05 05:34:59,Diesel,52.65,116.88,37697.4
12000028,913238,2024-03-30 12:21:05,CNG,464.21,47.71,7565.95
12000029,911684,2023-08-13 12:38:26,Diesel,300.46,94.8,39285.61
12000030,912279,2024-07-27 10:58:32,Electric,10.43,79.18,43382.12
12000031,912317,2025-10-29 11:01:57,Electric,95.62,71.05,60459.79
12000032,912887,2023-03-18 06:59:57,Diesel,164.58,50.79,55128.84
12000033,911800,2024-09-01 16:45:17,Electric,375.55,92.83,63438.08
12000034,911375,2024-04-10 03:18:18,Electric,479.77,117.65,63862.48
12000035,910379,2023-10-22 00:52:36,Diesel,118.06,80.66,61811.69
12000036,912321,2025-04-29 16:35:33,CNG,344.62,76.7,68363.72
12000037,913666,2024-09-16 16:34:56,Diesel,437.23,45.6,59097.84
12000038,912801,2023-05-17 04:19:25,CNG,504.36,59.01,68332.52
12000039,910604,2025-05-23 18:02:47,Diesel,22.26,57.88,44826.57
12000040,912356,2023-03-03 21:28:27,Electric,171.16,52.52,6881.61
12000041,911487,2025-03-03 21:57:07,CNG,184.89,71.5,16670.79
12000042,911282,2025-01-23 02:05:57,Diesel,87.62,11.71,34705.15
12000043,912998,2024-06-07 23:47:19,Diesel,94.12,92.3,4295.59
12000044,910314,2024-04-13 05:28:09,Diesel,458.27,70.45,4315.03
12000045,912937,2024-12-09 13:34:34,Diesel,256.87,71.7,58066.25
12000046,910002,2025-10-22 20:04:01,CNG,397.94,115.26,51961.15
12000047,913172,2025-07-13 15:55:09,Diesel,343.0,38.89,38429.49
12000048,913901,2024-08-13 23:23:31,Electric,436.42,24.9,27659.33
12000049,912838,2023-02-07 04:17:47,CNG,76.63,26.89,5310.47
12000050,912038,2023-04-02 11:25:50,Electric,556.55,20.23,38610.94
12000051,911277,2024-03-28 18:02:09,CNG,93.1,35.88,21484.9
12000052,912743,2023-10-21 08:45:18,Diesel,241.37,15.25,17622.07
12000053,910553,2023-08-12 05:39:43,Electric,279.89,81.15,41654.2
12000054,913293,2023-10-01 02:17:30,Diesel,407.22,59.29,25371.55
12000055,912133,2023-06-24 04:36:01,CNG,105.87,116.25,31367.5
12000056,912813,2025-08-20 04:28:28,Electric,49.29,83.77,29339.38
12000057,913155,2023-03-23 17:01:45,Electric,169.3,92.73,34830.19
12000058,912061,2023-12-04 00:06:03,CNG,221.53,62.72,31167.27
12000059,912116,2024-04-24 13:11:59,CNG,453.62,66.67,27151.76
12000060,910186,2025-07-10 06:32:44,Diesel,251.07,94.52,28844.82
