Load_ID,Customer_ID,Origin_Warehouse_ID,Destination_City,Driver_ID,Truck_ID,Load_Date,Weight_KG,Freight_Revenue,Status,Load_Year,Load_Month,Load_Month_Name
10000001,528817.0,920304.0,Chennai,907670,910384,2023-08-18 16:35:09,13965.8,57998.53,Delivered,2023,8,August
10000002,528965.0,920295.0,Delhi,906568,913600,2023-12-05 09:57:47,20625.2,229433.45,Delivered,2023,12,December
10000003,524706.0,920269.0,Mumbai,902647,910549,2025-02-06 11:19:59,1389.4,47389.32,In Transit,2025,2,February
10000004,516108.0,920033.0,Pune,910097,913254,2024-01-25 11:41:03,22391.5,35317.98,Delivered,2024,1,January
10000005,506625.0,920222.0,Mumbai,908583,912581,2025-04-23 05:50:49,20864.9,17863.23,Delivered,2025,4,April
10000006,530835.0,920054.0,Hyderabad,908614,911356,2024-10-23 16:06:11,13299.7,198834.06,Delivered,2024,10,October
10000007,528742.0,920063.0,Hyderabad,901925,911821,2025-02-17 07:21:41,12774.2,152365.05,Delivered,2025,2,February
10000008,526542.0,920043.0,Kolkata,911528,911916,2025-07-26 08:59:05,15389.2,41958.86,Cancelled,2025,7,July
10000009,515753.0,920208.0,Chennai,903939,913941,2025-02-04 07:21:50,22662.3,182279.0,Delivered,2025,2,February
10000010,510160.0,920372.0,Delhi,904711,912216,2025-04-20 12:12:49,995.9,111799.44,Delivered,2025,4,April
10000011,516476.0,920116.0,Pune,903276,912847,2023-08-24 08:28:34,20528.7,203282.86,Delivered,2023,8,August
10000012,546763.0,920343.0,Hyderabad,901251,910032,2023-05-14 21:56:35,18915.3,62974.84,Delivered,2023,5,May
10000013,546343.0,920250.0,Jaipur,910616,912869,2024-06-23 20:43:31,9405.6,118323.07,Cancelled,2024,6,June
10000014,533049.0,920116.0,Chennai,909189,912722,2025-01-01 14:52:43,15016.5,206827.65,Delivered,2025,1,January
10000015,541003.0,920165.0,Pune,901012,912191,2025-01-14 01:45:04,9280.2,197724.31,Delivered,2025,1,January
10000016,505147.0,920090.0,Hyderabad,902043,913556,2023-05-06 21:05:48,6139.9,191498.53,Failed,2023,5,May
10000017,507026.0,920038.0,Pune,900100,913705,2025-07-16 01:02:40,24491.2,213468.06,Cancelled,2025,7,July
10000018,533639.0,920164.0,Hyderabad,900584,911024,2023-12-27 00:44:11,15280.8,246139.36,Delivered,2023,12,December
10000019,506560.0,920196.0,Hyderabad,905756,910286,2025-10-01 14:13:32,24006.0,32215.63,Delivered,2025,10,October
10000020,517578.0,920083.0,Chennai,906980,912491,2024-11-09 19:07:56,14518.1,249012.87,Delivered,2024,11,November
10000021,500941.0,920044.0,Chennai,904885,913228,2025-06-11 03:11:22,27169.6,53872.04,Delivered,2025,6,June
10000022,547645.0,920220.0,Delhi,906774,911329,2025-09-28 13:37:11,20820.0,50133.77,Delivered,2025,9,September
10000023,549466.0,920053.0,Bengaluru,904990,913972,2025-09-25 16:24:38,21229.2,76335.58,Delivered,2025,9,September
