Maintenance_ID,Truck_ID,Maintenance_Date,Maintenance_Type,Downtime_Hours,Maintenance_Cost,Failure_Flag
1300001,913237,2023-10-08 22:11:11,Preventive,116.1,289920.55,0
1300002,911679,2023-02-14 11:37:54,Inspection,2.9,14598.4,0
1300003,913987,2025-09-21 06:28:17,Preventive,71.4,158961.61,0
1300004,911978,2025-08-11 03:05:11,Corrective,91.7,225401.89,1
1300005,910091,2023-04-03 16:32:25,Inspection,94.4,148266.48,0
1300006,911493,2025-12-27 13:23:57,Preventive,92.0,55219.88,0
1300007,910730,2025-04-09 19:25:34,Preventive,2.4,252205.02,0
1300008,911193,2023-11-07 22:49:01,Preventive,111.3,198609.99,1
1300009,912182,2024-11-03 20:22:26,Engine,4.6,214358.26,0
1300010,910677,2024-12-16 19:51:33,Corrective,110.0,89755.71,0
1300011,910503,2023-07-22 00:42:30,Preventive,92.6,166221.68,0
1300012,910731,2025-07-02 19:29:57,Tire,88.2,126599.99,0
1300013,913130,2023-11-29 10:37:40,Tire,53.7,145048.12,0
1300014,911240,2023-03-05 22:56:56,Preventive,31.8,234494.91,0
1300015,911421,2025-07-09 15:34:57,Preventive,28.2,232701.14,0
1300016,911324,2023-04-14 17:24:04,Engine,39.4,50219.51,0
1300017,910025,2023-08-23 17:08:14,Tire,116.5,80949.32,1
1300018,910505,2023-07-10 07:06:57,Corrective,30.4,238831.67,1
1300019,910134,2023-04-16 06:12:34,Inspection,101.2,203485.86,0
1300020,911098,2025-02-06 11:24:17,Tire,65.5,101070.42,0
1300021,913081,2025-09-27 04:07:57,Preventive,89.6,132993.71,0
1300022,910363,2025-12-04 21:42:20,Tire,78.8,13475.42,0
1300023,910899,2025-05-24 13:36:03,Tire,2.7,161816.71,0
1300024,913279,2023-05-13 05:37:48,Engine,61.6,223473.26,0
1300025,912186,2023-06-25 04:36:59,Inspection,77.4,710.29,0
1300026,913314,2025-04-06 11:01:44,Inspection,68.6,221937.41,0
1300027,910110,2025-04-12 18:37:19,Preventive,55.7,177964.96,0
1300028,911851,2023-09-21 22:23:11,Preventive,89.3,52170.01,0
1300029,912579,2023-07-14 21:02:40,Inspection,64.5,104155.84,0
1300030,912273,2025-10-02 03:32:32,Preventive,53.2,138746.98,0
1300031,912057,2025-02-15 05:16:11,Tire,15.0,162154.59,1
1300032,911685,2025-11-19 04:19:32,Tire,16.3,249001.3,1
1300033,910008,2023-10-05 13:13:00,Corrective,103.1,110892.04,0
1300034,910325,2025-02-25 10:55:38,Preventive,75.7,198929.75,0
1300035,912137,2023-07-26 23:20:47,Engine,59.2,215380.58,1
1300036,912937,2025-08-03 18:44:17,Inspection,31.9,26513.32,1
1300037,913590,2025-12-27 09:17:15,Engine,112.4,245755.78,0
1300038,912736,2024-11-15 19:56:54,Inspection,76.1,260702.58,0
1300039,912094,2024-03-30 09:29:53,Tire,105.0,266450.21,0
1300040,911240,2024-02-18 05:49:29,Engine,89.2,114425.89,0
1300041,912090,2025-06-26 14:18:08,Tire,18.6,280476.31,0
1300042,911152,2024-09-24 16:49:19,Corrective,31.5,4689.0,0
1300043,913151,2023-06-13 02:09:21,Inspection,40.0,250607.4,1
1300044,911128,2024-07-04 21:13:42,Tire,30.0,267511.2,1
1300045,910580,2025-05-14 12:13:55,Inspection,48.3,165930.52,0
1300046,912849,2025-04-23 18:42:51,Corrective,112.4,3059.0,0
1300047,913770,2024-08-24 08:32:18,Engine,64.6,165504.75,0
1300048,910971,2025-01-03 04:04:04,Tire,70.5,18148.68,0
1300049,912971,2025-09-17 03:37:30,Inspection,102.7,225585.86,0
1300050,913978,2024-10-26 03:48:33,Preventive,66.2,52368.82,0
1300051,910644,2024-12-04 02:05:01,Preventive,87.6,9878.67,0
1300052,912304,2025-01-25 18:28:01,Corrective,114.3,174407.87,1
1300053,911786,2023-04-29 02:52:06,Inspection,31.3,295859.12,0
1300054,911825,2024-08-11 18:04:14,Tire,62.5,75882.28,0
1300055,913614,2024-11-12 04:05:35,Inspection,33.9,200488.3,0
1300056,911729,2024-07-23 16:11:55,Preventive,60.9,139121.0,0
1300057,912598,2025-06-05 12:11:46,Corrective,15.1,135241.37,1
1300058,911259,2023-08-14 20:41:37,Preventive,72.2,265020.4,0
1300059,911206,2024-10-18 08:22:01,Engine,43.4,257649.15,0
1300060,912397,2023-01-19 23:09:14,Preventive,83.2,181023.3,0
1300061,910169,2024-06-06 21:06:48,Tire,21.0,114789.21,0
1300062,913233,2024-08-02 18:08:25,Tire,71.3,174429.41,0
1300063,910837,2023-10-03 20:37:37,Corrective,37.3,180025.2,0
1300064,910310,2023-04-12 10:36:35,Inspection,95.0,52677.25,1
1300065,911076,2024-03-18 07:04:20,Inspection,44.9,178697.48,1
1300066,911357,2025-09-24 01:31:58,Preventive,4.1,181966.82,0
1300067,911638,2024-04-06 01:25:27,Corrective,77.1,49498.26,0
1300068,912252,2024-03-21 19:33:41,Inspection,9.0,294261.44,0
1300069,910104,2024-10-22 10:29:31,Engine,60.9,17952.2,0
1300070,911925,2025-04-28 13:52:29,Corrective,45.7,80020.44,0
1300071,910365,2023-03-12 04:22:23,Tire,22.3,263825.83,0
1300072,912044,2024-03-18 19:08:44,Tire,16.8,276412.85,0
1300073,912804,2023-04-29 06:04:47,Preventive,115.9,101147.66,0
1300074,912440,2025-01-06 17:10:31,Corrective,53.4,293137.62,0
1300075,912157,2024-05-29 06:19:33,Tire,83.4,266510.62,0
1300076,913369,2024-06-12 09:34:42,Tire,68.8,237527.63,1
1300077,912300,2024-06-05 15:06:08,Engine,69.2,38279.94,0
1300078,911081,2024-11-26 08:00:07,Preventive,82.9,235968.38,0
1300079,913279,2025-04-12 11:20:53,Tire,5.3,265413.95,1
1300080,913420,2024-11-15 12:22:13,Tire,62.2,85000.15,0
1300081,912563,2025-03-21 05:24:44,Inspection,45.3,58752.25,0
1300082,913525,2023-02-25 22:43:19,Inspection,52.4,41354.28,0
1300083,911420,2024-10-31 00:44:08,Tire,71.4,296694.43,1
1300084,913038,2025-08-12 02:36:35,Inspection,22.8,96249.74,1
1300085,911201,2024-06-21 06:38:22,Corrective,107.0,179409.68,0
1300086,912734,2025-11-11 10:50:16,Corrective,89.6,104659.37,0
1300087,912080,2025-08-13 08:48:52,Tire,14.0,20842.64,0
1300088,911764,2024-08-05 20:49:53,Preventive,29.3,229544.27,0
1300089,911079,2025-03-09 05:24:07,Corrective,24.3,99236.49,0
1300090,912958,2024-05-27 20:33:51,Preventive,61.0,116366.76,1
1300091,911602,2023-03-19 04:16:01,Corrective,9.6,52514.54,1
1300092,913004,2024-03-21 21:19:50,Inspection,81.2,279401.21,0
1300093,913253,2023-04-28 16:10:30,Corrective,15.9,136143.79,0
1300094,913915,2024-10-19 22:46:42,Inspection,84.3,286991.88,0
1300095,910882,2023-08-02 11:48:18,Preventive,118.8,127499.74,0
1300096,912992,2024-07-11 08:44:15,Corrective,8.0,117917.52,0
1300097,910839,2023-10-01 23:57:48,Preventive,60.4,242551.7,0
1300098,911743,2023-11-27 09:08:38,Engine,23.7,112016.6,0
1300099,910468,2025-10-23 12:15:12,Corrective,17.0,154466.91,0
1300100,912735,2023-12-01 23:20:05,Engine,104.2,250405.03,0
1300101,913361,2025-08-24 15:07:22,Inspection,78.5,246653.9,1
