Truck_ID,Truck_Type,Fuel_Type,Capacity_KG,Model_Year,Odometer_KM
910001,Medium,Electric,15751,2023,330667
910002,Medium,Diesel,24721,2016,200627
910003,Light,Electric,11623,2025,147338
910004,Heavy,Hybrid,19120,2020,160635
910005,Heavy,CNG,23574,2018,823279
910006,Light,Diesel,16362,2021,414395
910007,Light,Hybrid,10545,2022,109572
910008,Medium,Electric,9431,2023,878605
910009,Light,Diesel,22594,2024,199765
910010,Medium,Electric,29029,2015,39849
910011,Medium,CNG,29158,2025,302281
910012,Medium,Hybrid,18053,2024,864729
910013,Light,Diesel,20667,2016,353977
910014,Light,Electric,19951,2019,543361
910015,Heavy,Electric,4749,2022,555927
910016,Medium,Hybrid,22425,2021,666489
910017,Light,Diesel,6848,2022,829537
910018,Light,CNG,12478,2018,800546
910019,Light,CNG,4353,2017,14427
910020,Heavy,Diesel,11648,2024,229814
910021,Medium,CNG,17085,2021,90524
910022,Light,Electric,27437,2025,852247
910023,Heavy,Diesel,24974,2020,371324
910024,Medium,CNG,19693,2022,537557
910025,Heavy,Electric,18890,2020,157637
910026,Light,CNG,13397,2018,19123
910027,Light,Hybrid,22434,2016,838171
910028,Heavy,CNG,5959,2021,493633
910029,Light,Diesel,21919,2022,583960
910030,Light,CNG,29990,2023,745750
910031,Heavy,CNG,11600,2025,885106
910032,Heavy,Diesel,16477,2016,485380
910033,Heavy,Electric,17350,2020,574843
910034,Light,Hybrid,25781,2021,454495
910035,Heavy,Hybrid,27379,2024,711047
910036,Light,Diesel,4706,2025,604336
910037,Heavy,Electric,1283,2024,60641
910038,Heavy,Diesel,8900,2022,760005
910039,Heavy,Diesel,15057,2025,450655
910040,Medium,Electric,25717,2021,690513
910041,Light,Diesel,22008,2016,458148
910042,Medium,CNG,20512,2019,834851
910043,Light,Diesel,26796,2023,177422
910044,Medium,Diesel,7836,2025,141909
910045,Medium,CNG,23137,2017,883582
910046,Heavy,Hybrid,23762,2020,741822
910047,Medium,Electric,24379,2024,828232
910048,Medium,Hybrid,8085,2019,314235
910049,Medium,Electric,3846,2023,273906
910050,Light,CNG,4427,2019,690122
910051,Medium,Diesel,9877,2024,718259
910052,Medium,CNG,17305,2018,34136
910053,Heavy,Electric,20913,2017,700983
910054,Heavy,Hybrid,29306,2023,701232
910055,Light,CNG,23120,2017,116732
910056,Heavy,Hybrid,2185,2025,287048
910057,Heavy,CNG,12405,2016,568951
910058,Light,Hybrid,1745,2020,551946
910059,Medium,Electric,20231,2016,498072
910060,Light,CNG,4661,2025,785854
910061,Medium,Hybrid,20309,2024,547311
910062,Heavy,CNG,26764,2021,65280
910063,Heavy,CNG,18475,2023,304212
910064,Heavy,CNG,27174,2025,227818
910065,Light,CNG,14968,2023,527864
910066,Heavy,Hybrid,2800,2023,589511
