Warehouse_ID,Warehouse_Name,City,Capacity_SQFT,Storage_Cost_Per_Day,Utilization_Pct
920001,WH_0,Pune,44395,2964.88,73.1
920002,WH_1,Chennai,404843,12926.51,68.0
920003,WH_2,Pune,731371,47549.62,84.2
920004,WH_3,Mumbai,279086,13970.75,34.0
920005,WH_4,Delhi,304778,38251.56,87.1
920006,WH_5,Kolkata,958673,12778.81,94.7
920007,WH_6,Delhi,514215,4966.0,88.3
920008,WH_7,Mumbai,759812,22436.75,63.2
920009,WH_8,Delhi,837032,13095.29,35.6
920010,WH_9,Mumbai,12682,28721.19,39.8
920011,WH_10,Chennai,173802,7356.8,56.3
920012,WH_11,Delhi,566959,9352.29,43.2
920013,WH_12,Kolkata,452772,49121.21,96.6
920014,WH_13,Mumbai,994362,10784.59,80.7
920015,WH_14,Kolkata,318913,32046.2,87.8
920016,WH_15,Mumbai,705799,1436.05,50.4
920017,WH_16,Pune,714728,25385.94,98.6
920018,WH_17,Kolkata,579428,28271.59,74.7
920019,WH_18,Mumbai,466344,28184.64,77.4
920020,WH_19,Delhi,688352,9331.54,91.9
920021,WH_20,Delhi,51085,39723.57,71.8
920022,WH_21,Pune,494021,8279.99,84.7
920023,WH_22,Chennai,146825,35107.71,87.3
920024,WH_23,Hyderabad,10475,36174.27,94.9
920025,WH_24,Mumbai,801353,28403.56,98.9
920026,WH_25,Mumbai,212818,47096.25,69.5
920027,WH_26,Chennai,518181,6081.61,91.2
920028,WH_27,Delhi,276781,37696.69,34.3
920029,WH_28,Mumbai,199874,3973.15,32.3
920030,WH_29,Mumbai,868985,26068.78,35.0
920031,WH_30,Pune,720356,24201.86,44.1
920032,WH_31,Kolkata,409612,39585.64,85.7
920033,WH_32,Pune,917607,43561.89,68.3
920034,WH_33,Kolkata,93622,43278.25,94.4
920035,WH_34,Kolkata,989402,22536.09,57.5
920036,WH_35,Pune,673266,33201.65,44.6
920037,WH_36,Hyderabad,87227,22915.56,66.5
920038,WH_37,Kolkata,47051,14587.09,86.1
920039,WH_38,Delhi,623167,25572.9,57.0
920040,WH_39,Pune,302963,48816.58,45.3
920041,WH_40,Delhi,990702,15378.97,94.9
920042,WH_41,Pune,727723,40798.74,46.0
920043,WH_42,Kolkata,869746,3693.63,96.0
920044,WH_43,Hyderabad,542637,3508.92,55.4
920045,WH_44,Bengaluru,574303,26563.19,48.6
920046,WH_45,Delhi,119013,18805.35,93.3
920047,WH_46,Delhi,13955,4260.97,82.8
920048,WH_47,Hyderabad,80634,15308.24,50.4
920049,WH_48,Mumbai,175048,39221.03,94.8
920050,WH_49,Chennai,361318,10986.93,54.2
920051,WH_50,Mumbai,784023,21924.54,58.5
920052,WH_51,Pune,525404,12343.67,94.6
920053,WH_52,Chennai,413960,8141.79,78.0
920054,WH_53,Chennai,405917,10457.19,38.3
920055,WH_54,Hyderabad,951017,40000.29,59.4
920056,WH_55,Chennai,796764,46933.74,51.3
920057,WH_56,Bengaluru,675781,23967.15,75.7
920058,WH_57,Kolkata,332990,18589.98,47.2
920059,WH_58,Pune,602317,49974.31,69.1
920060,WH_59,Bengaluru,793780,34265.6,85.6
920061,WH_60,Bengaluru,299784,12034.18,59.8
920062,WH_61,Bengaluru,210873,5725.63,37.4
920063,WH_62,Delhi,406053,8916.33,86.7
920064,WH_63,Hyderabad,701493,18752.22,58.6
920065,WH_64,Chennai,171329,36735.82,46.2
920066,WH_65,Kolkata,949648,47075.21,39.7
920067,WH_66,Chennai,449564,28393.14,78.8
920068,WH_67,Chennai,393515,49531.61,40.2
920069,WH_68,Delhi,45922,2529.84,49.0
920070,WH_69,Mumbai,748631,13879.81,55.4
920071,WH_70,Pune,266104,35509.93,55.9
920072,WH_71,Hyderabad,822542,43244.58,61.3
920073,WH_72,Mumbai,801631,21811.83,93.3
920074,WH_73,Delhi,254830,30327.8,65.4
920075,WH_74,Hyderabad,116176,42527.17,74.7
920076,WH_75,Delhi,376666,40202.3,82.3
920077,WH_76,Mumbai,757854,4850.84,84.4
920078,WH_77,Pune,907788,14237.12,67.1
920079,WH_78,Hyderabad,98088,18547.15,96.8
920080,WH_79,Kolkata,636277,42760.21,50.1
920081,WH_80,Delhi,320131,24061.45,33.8
920082,WH_81,Kolkata,201526,18416.61,74.9
920083,WH_82,Bengaluru,603210,1471.42,31.4
920084,WH_83,Chennai,136290,19157.66,73.5
920085,WH_84,Pune,692852,36605.99,34.8
920086,WH_85,Hyderabad,375308,23975.06,39.9
920087,WH_86,Hyderabad,64291,24872.59,40.5
920088,WH_87,Pune,224650,15706.21,32.3
